Time (s),Linear Acceleration x (m/s^2),Linear Acceleration y (m/s^2),Linear Acceleration z (m/s^2),Absolute acceleration (m/s^2)
0.870547458,-2.800998146,-3.283772044,-3.153095838,5.345162562
0.880549458,-2.911180739,-2.481265085,-3.680445693,5.308232306
0.890551458,-3.159411415,-1.789412004,-4.225587455,5.571307311
0.900553458,-3.663955375,-1.726252281,-4.92652594,6.377709131
0.910554583,-4.519302453,-1.740818718,-5.619316914,7.418306212
0.920556583,-5.187221126,-1.595518918,-6.182523649,8.226575369
0.930558583,-5.639318485,-1.402328667,-6.356032757,8.612060791
0.940560583,-6.101274834,-1.398904391,-6.212153245,8.81891921
0.950561583,-6.744439904,-1.503992597,-5.89248655,9.081346877
0.960563583,-7.22808533,-1.456476515,-5.213994942,9.030630356
0.970565583,-8.02639048,-1.982094132,-5.345836791,9.845283759
0.980567583,-7.841975731,-1.932553305,-4.107738578,9.061173316
0.990568583,-7.559536504,-0.926305379,-2.897059128,8.148471353
1.000570583,-7.494406707,-0.824604464,-2.528670217,7.952375587
1.010572583,-7.791378019,-1.596828986,-1.79825124,8.154087428
1.020574583,-8.094640351,-1.943838431,-0.164178706,8.326383663
1.030575583,-7.517706692,-1.45204491,1.859786314,7.879286355
1.040577583,-6.307200905,-0.599764112,4.444592578,7.739179765
1.050579583,-4.77459832,0.286972573,7.804972211,9.154055582
1.060581583,-2.247257468,0.733510984,8.665792283,8.982436216
1.070582583,0.278156726,1.151586903,9.10701499,9.183748994
1.080584583,2.131461548,1.576673049,9.808729985,10.16071898
1.090586583,3.174086173,1.707619105,10.04989839,10.6766682
1.100588583,2.876510843,0.198340479,10.18503924,10.58530481
1.110589583,2.61614544,-2.991455993,10.46019635,11.18967084
1.120591583,2.328605686,-5.869498222,10.97531967,12.66219001
1.130593583,1.919691769,-7.60057928,11.99244167,14.32734026
1.140595583,2.904492694,-6.791585419,12.63458055,14.6353796
1.150596583,5.337506847,-4.43840447,10.52340241,12.60676056
1.160598583,7.198376797,-2.696033608,9.324088193,12.0840327
1.170600583,8.976804514,-2.010562763,6.863269944,11.47736277
1.180601583,10.09641066,-1.265402371,3.559812956,10.7801215
1.190603583,10.78280127,-1.910051465,2.895220764,11.32693264
1.200605583,10.67863078,-2.230680027,3.10581993,11.34262784
1.210607583,10.01808136,-2.018580465,3.307794453,10.74142101
1.220609583,9.960381031,-1.815444685,3.234599007,10.62862458
1.230610583,9.830918999,-1.500532946,3.220034178,10.45309464
1.240612583,9.645443564,-1.318040761,3.100693091,10.21695212
1.250614583,10.03378347,-0.99921548,3.532355016,10.68423016
1.260616583,10.04754898,-1.114665245,3.694118822,10.76300298
1.270617583,9.299445103,-2.313193011,4.40774401,10.54792626
1.280619583,7.216480946,-3.748278072,5.235877562,9.671690627
1.290621583,4.957938936,-4.782623039,4.460402865,8.206694544
1.300623583,4.147416614,-4.996858004,2.678941612,7.024698046
1.310624583,3.795701914,-3.717189011,-1.025946611,5.410860709
1.320626583,4.535081164,-1.455934478,-6.607073606,8.144944935
1.330628583,5.608882558,1.822264293,-7.211805512,9.316133825
1.340630583,4.761589435,4.606402577,-7.189484351,9.776521052
1.350631583,3.442530674,5.734329307,-6.98374773,9.669864652
1.360633583,2.613380291,5.814524454,-5.622272682,8.499905957
1.370635583,1.273686122,5.46201278,-4.945330001,7.477442662
1.380637583,0.473227442,5.37661478,-4.577365889,7.077019795
1.390638583,-0.371555471,5.25353206,-4.937351475,7.219078345
1.400640583,-0.647128898,5.023388575,-5.457885815,7.445920101
1.410642583,-0.003304262,5.148157632,-4.626269077,6.921409069
1.420644583,0.830084183,5.421564665,-3.010589252,6.256680495
1.430645583,2.002032845,5.4045136,-0.827050062,5.82244919
1.440647583,2.856055529,4.997848522,1.657173421,5.990139129
1.450649583,2.640402614,3.975892051,3.92301568,6.178146614
1.460651583,2.072538571,2.180762932,5.643289914,6.395143794
1.470652583,1.75470147,0.891738394,5.8455299,6.168013815
1.480654583,1.033750305,-0.243779191,6.26699662,6.356360171
1.490656583,0.479729546,-1.108202317,5.306199685,5.441875404
1.500658583,0.502753542,-1.616126552,4.053881044,4.393014645
1.510659583,0.34146453,-2.091782928,3.72853144,4.288834403
1.520661583,0.410516054,-2.765534783,4.227084342,5.068031975
1.530663583,0.451668173,-3.954992348,4.968998945,6.36686101
1.540665583,0.355252265,-5.413676187,4.848172665,7.275910405
1.550666583,0.409201015,-7.291902426,4.802987137,8.741165363
1.560668583,-0.613016827,-8.579672152,4.967258229,9.932785016
1.570670583,-1.212982083,-8.133867567,4.309870976,9.284724818
1.580672583,-0.993374696,-6.058721137,3.492190492,7.06330585
1.590673583,-1.891388322,-3.509311139,-3.556731473,5.34256055
1.600675583,-1.421220728,-3.674010247,-4.50855644,5.987094523
1.610677583,-2.144427164,-5.395730497,-3.314028754,6.685451521
1.620679583,-2.79543452,-7.496747932,-4.385301227,9.123954766
1.630680583,-1.481263447,-9.198018131,-3.886876963,10.09482498
1.640682583,0.534529651,-8.274794819,-3.760885254,9.105065027
1.650684583,2.87985165,-6.328817477,-3.675905037,7.865097203
1.660686583,4.051050699,-5.763318048,-4.540089597,8.380886602
1.670688583,4.922879031,-3.983575292,-5.1469648,8.160567181
1.680689583,5.832253797,-1.781261863,-3.181282341,6.878127326
1.690691583,6.399255375,-0.707567473,-1.554869952,6.623348221
1.700693583,7.524776561,-2.739279615,2.150783672,8.291669645
1.710695583,8.298299457,-4.458534679,6.829331535,11.63529435
1.720696583,7.591145382,-4.124433548,8.500779764,12.12021852
1.730698583,6.071814222,-4.592164607,7.049964523,10.37578448
1.740700583,4.661761384,-6.498446957,6.988729557,10.62093089
1.750702583,3.908241812,-6.90056407,7.758045967,11.09411627
1.760703583,2.153049322,-4.265932074,1.123272346,4.908720669
1.770705583,-0.007633467,-1.855869411,-6.469955814,6.730871992
1.780707583,-3.02412351,-0.534767632,2.733597876,4.111430015
1.790709583,-3.349869263,-1.179448886,9.425686489,10.07255129
1.800710583,-2.926053132,-3.379429861,4.022593762,6.013617355
1.810712583,-6.006527721,-7.689302006,1.580669037,9.884445114
1.820714583,-11.46324994,-9.271635745,2.168628205,14.90208968
1.830716583,-11.85504847,-5.541355403,0.042443769,13.08627508
1.840717583,-4.732409197,4.888198026,-10.45042916,12.47002993
1.850719583,-2.41620794,7.126555447,-17.68210409,19.21672861
1.860721583,-2.858839096,6.793577566,-15.31726555,16.99836113
1.870723583,-1.601276525,5.194934773,-13.2449024,14.31708327
1.880725583,0.501324483,2.599195531,-11.45275419,11.75468937
1.890726583,1.846783422,1.526509786,-4.945267435,5.495135225
1.900728583,2.012415015,1.278810622,4.295241827,4.912664567
1.910729958,5.845711749,1.810894967,0.745446905,6.16501237
1.920731958,8.230320312,1.946246899,0.290772679,8.462304544
1.930732958,9.845092649,3.568884911,-1.485829538,10.57688414
1.940734958,11.88411966,5.41765931,-3.962657463,13.64866245
1.950736958,11.12360039,6.216346868,-4.534426276,13.52547506
1.960738958,8.548066197,6.064347913,-3.584337348,11.07669741
1.970739958,7.045300784,7.188296782,-3.444309397,10.63819256
1.980741958,4.155677852,5.983962146,-2.326121789,7.647764638
1.990743958,2.622873246,5.06660827,-2.222418496,6.122836548
2.000745958,3.533590533,5.33341672,-0.724213327,6.438639678
2.010746958,4.935244138,4.317425578,-1.074082645,6.644580638
2.020748958,5.767868936,3.022387179,-1.057525669,6.597082451
2.030750958,4.489679874,1.933381855,-2.477467026,5.48024029
2.040752958,1.709592248,1.178921467,-2.724389681,3.425618282
2.050753958,0.908895879,1.813608075,-3.41518617,3.972249053
2.060755958,0.237096409,1.30721581,-3.014328547,3.294116645
2.070757958,0.594827893,0.37385869,-2.359567278,2.461939943
2.080759958,1.123047521,-0.953104922,-2.033784395,2.51115983
2.090761958,-0.109003209,-2.053072021,-1.971255441,2.848303782
2.100762958,-1.486201128,-1.761578965,-2.709662883,3.557278058
2.110764958,-3.31757012,0.275234873,-1.175119607,3.530287783
2.120766958,-5.844710705,-1.436428751,-2.361365297,6.465293253
2.130768958,-5.269085653,0.16043181,-0.84336087,5.338563435
2.140769958,-4.252266254,-0.745534614,-3.120785878,5.326996776
2.150771958,-2.713740439,-0.330305704,-1.391243223,3.067416948
2.160773958,0.714278615,1.783607181,0.749527677,2.06233854
2.170775958,3.923617651,2.5542895,2.115957071,5.13774704
2.180776958,5.422700779,2.881397361,5.693796408,8.374213517
2.190778958,2.615632054,1.886326972,7.786797311,8.42816545
2.200780958,0.349576665,-0.557132063,5.417789118,5.457567124
2.210782958,0.939107857,-0.41475587,2.122174123,2.357449683
2.220784958,1.87326517,0.717263326,-1.932118272,2.785079908
2.230785958,3.216650394,2.996931911,-5.35705175,6.930111405
2.240787958,3.760726209,3.446143668,-5.522670041,7.517902113
2.250789958,4.606830886,2.761009623,-4.909033409,7.276309089
2.260791958,4.701650797,0.998257706,-3.118123056,5.729287046
2.270792958,2.876834779,-3.183293198,-1.64512114,4.595210278
2.280794958,0.960581611,-9.829737861,2.097582196,10.09684676
2.290796958,-0.821864752,-11.93138621,4.432647886,12.7546778
2.300798958,1.199521062,-5.84255776,2.208482242,6.360167119
2.310799958,4.954120705,-2.871134913,0.127334523,5.727385243
2.320801958,11.00341555,-0.909809214,-1.551119547,11.14938915
2.330803958,14.15415262,3.258169134,-1.177042757,14.57192959
2.340805958,6.042444828,-4.317806232,-0.310306618,7.433093592
2.350807958,1.455974531,-6.568124133,0.74395338,6.768573195
2.360808958,-1.85413995,-6.239477869,2.897200046,7.124793831
2.370810958,-3.753718614,-5.490959421,2.057463865,6.962341298
2.380812958,-4.742948511,-2.954015687,-0.178238336,5.590486398
2.390814958,-1.179352845,2.874391227,-2.690503896,4.109964632
2.400815958,-4.155876365,1.821973686,-3.146663901,5.521991505
2.410817958,-15.51084347,-3.420031173,2.015907118,16.01083258
2.420819958,-14.55942664,-4.016553004,1.011751764,15.13714781
2.430821958,-6.988427256,-0.030946389,-0.365104238,6.998026458
2.440822958,-4.733809898,3.242217929,-0.338323406,5.747642645
2.450824958,-5.70479619,4.061664273,-0.660733322,7.034087344
2.460826958,-6.145637659,4.594929171,-1.303439386,7.783391969
2.470828958,-6.755154927,4.617432765,-1.935126665,8.408181648
2.480830958,-6.977830347,4.517675173,-2.036165382,8.558357014
2.490831958,-5.178352654,4.109296861,-2.102748211,6.937089227
2.500833958,-2.89983831,3.159076955,0.273598676,4.296939104
2.510835958,0.563848175,1.488689411,2.275643946,2.777170556
2.520837958,4.546112521,-0.871467267,1.76161171,4.952763882
2.530838958,6.500763624,-2.372798942,1.617723281,7.106836928
2.540840958,6.330168183,-3.448560907,0.683457649,7.240905739
2.550842958,7.140750732,-3.976167455,0.78215748,8.210481044
2.560844958,4.633098917,-4.840798742,-0.130077013,6.701929428
2.570846958,2.741859114,-4.997267309,-0.817637215,5.758385414
2.580847958,2.774475176,-4.086301516,-0.762802172,4.997743464
2.590849958,3.180912212,-3.564246899,-0.58946775,4.813473869
2.600851958,3.217808143,-3.162360751,-0.21858237,4.516922959
2.610853958,2.162778212,-2.4984176,0.496154374,3.341536961
2.620854958,0.785533223,-1.2389981,2.674828681,3.050719129
2.630856958,-0.049030073,0.352098861,1.254958659,1.30433845
2.640858958,-0.78549507,1.727931747,-0.227360795,1.911659897
2.650860958,-1.850899862,2.782185314,-0.007599188,3.341622835
2.660862958,-1.551862729,2.755857641,-0.946227573,3.30126883
2.670863958,-1.410405426,2.183183094,-0.609223884,2.669585292
2.680865958,-1.204928713,1.971298125,0.506168755,2.365179974
2.690867958,-0.863703918,1.896587082,0.561086389,2.158204103
2.700869958,-0.432240945,2.135554014,-1.581571408,2.692357945
2.710870958,-0.055070246,2.176878042,-2.657377081,3.435619841
2.720872958,0.464899399,4.058610857,-1.758359488,4.447502853
2.730874958,1.117626567,7.01427195,-1.020540422,7.175695289
2.740876958,1.185953475,8.761676679,-0.902433098,8.887510865
2.750878958,0.753825819,9.532410454,-1.001794687,9.614504408
2.760879958,0.318799699,10.15806604,-1.223736867,10.23647746
2.770881958,0.495448908,9.37182954,-0.954443204,9.43332499
2.780883958,-0.046410812,7.908677258,-0.87484915,7.957052908
2.790885958,-0.641701366,5.865440254,-0.37693184,5.912465444
2.800886958,-1.040749495,3.731183737,0.356686002,3.89000212
2.810888958,-1.327938343,2.913479279,0.754813122,3.289608579
2.820890958,-0.744042331,1.699593801,0.858764044,2.044429936
2.830892958,-0.502266177,0.571408625,-1.006308884,1.26152158
2.840894958,-0.536488395,1.334742748,-3.184735706,3.494552835
2.850895958,-0.331162102,1.713496726,-3.54063175,3.947380467
2.860897958,-0.319852052,1.682139863,-2.549764924,3.07135166
2.870899958,-1.018042418,3.16889326,-0.914595891,3.451779324
2.880901958,-1.513954645,0.495849735,1.669392933,2.307552467
2.890902958,-5.817375557,-14.66721421,5.769456455,16.80046603
2.900904958,-5.611854697,-35.20375124,7.822533739,36.49642514
2.910907583,2.070886733,-36.74461652,4.44350792,37.07020607
2.920909583,5.555486369,-17.3109743,0.377339537,18.18448914
2.930911583,2.410037228,-5.313113433,0.306275109,5.842196354
2.940912583,1.298032174,-0.881616864,-1.166184623,1.955024909
2.950914583,1.081037908,0.970863501,-2.170621813,2.61205244
2.960916583,0.702683805,1.086448921,-2.412300977,2.737395074
2.970918583,0.533837267,1.08598933,-2.35794029,2.650327803
2.980919583,0.19332978,1.119048902,-1.640085518,1.994875274
2.990921583,0.248418153,1.994744291,-1.326317056,2.408284306
3.000923583,0.729158828,2.982927829,-1.156601768,3.281350131
3.010925583,0.879364151,2.846620461,-0.392560424,3.005101171
3.020927583,1.147245565,1.985261276,0.188313527,2.300629633
3.030928583,1.317717117,0.852613505,0.310005048,1.599822277
3.040930583,1.028221763,-0.220120187,0.274968824,1.086876601
3.050932583,0.715523268,-0.713680737,0.341548145,1.066756241
3.060934583,0.438535619,-0.762218474,0.216227696,0.90556331
3.070935583,0.279394216,-0.462680819,-0.004180759,0.540511006
3.080937583,0.102577266,-0.289708486,0.069774824,0.315153341
3.090939583,-0.189412073,-0.197133029,0.09206558,0.288469123
3.100941583,-0.317538747,-0.114285584,0.155243576,0.371473577
3.110943583,-0.202839326,-0.282383679,0.309386705,0.465407851
3.120944583,-0.05939894,-0.317984451,0.423267662,0.532726814
3.130946583,0.159320254,0.177239047,0.123315439,0.268334345
3.140948583,0.372041229,0.473004078,-0.214930784,0.639017039
3.150950583,0.452432697,0.642971528,-0.417330399,0.890096844
3.160951583,0.577226458,0.822743588,-0.45431053,1.102948527
3.170953583,0.560127884,0.972792497,-0.301108802,1.162211254
3.180955583,0.583390593,1.041343499,0.005030944,1.193635697
3.190957583,0.595612881,1.008037759,0.257221063,1.198773333
3.200959583,0.689333077,0.925432389,0.482022239,1.25058012
3.210960583,0.69772427,0.77479642,0.563075173,1.184981983
3.220962583,0.539535306,0.605604311,0.529547238,0.968646068
3.230964583,0.251622646,0.539795069,0.390134414,0.711967368
3.240966583,-0.00213248,0.540548775,0.218033901,0.582869031
3.250968583,0.062931828,0.542645001,0.072816254,0.551113617
3.260969583,0.323717938,0.575902795,-0.128668565,0.673062354
3.270971583,0.547664982,0.668085904,-0.069079883,0.866630104
3.280973583,0.634104956,0.757840079,0.165300786,1.001865775
3.290975583,0.645437883,0.911489119,0.391195392,1.183400317
3.300976583,0.657141085,1.088959715,0.585489597,1.400166324
3.310978583,0.769248143,1.147155299,0.762167019,1.57753179
3.320980583,1.023968498,1.19314248,0.873686724,1.798729817
3.330982583,1.218700806,1.192801588,1.003721929,1.978753394
3.340984583,1.382162643,1.166527709,1.119882569,2.12727465
3.350985583,1.551464533,1.182698768,1.09986945,2.239538207
3.360987583,1.783472841,1.257869403,1.120059301,2.453068211
3.370989583,1.900489221,1.319993146,1.070760257,2.549660509
3.380991583,1.998184646,1.32442709,1.048546684,2.616543358
3.390993583,2.145585498,1.340426826,1.020255516,2.727856763
3.400994583,2.181955325,1.306729322,1.113346552,2.776330511
